species;individual;type;arena;start_hour;end_hour;reach_tie;avoidance;exit_way;fall_hour;exit_hour;reach_barrier;time_escape;time_fall
Tortoise_type1;5A;1;NA;11:48;12:03;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;1A;1;NA;14:03;14:10;yes;yes;barrier;NA;14:10;yes;00:07:00;NA
Tortoise_type1;3A;1;NA;14:20;14:35;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;5A;1;NA;14:38;14:41;yes;yes;barrier;NA;14:41;yes;00:03:00;NA
Tortoise_type1;2A;1;NA;11:12;11:27;yes;yes;unable;NA;NA;no;NA;NA
Tortoise_type1;4A;1;NA;11:29;11:44;no;no;unable;NA;NA;yes;NA;NA
Tortoise_type1;6A;1;NA;11:48;12:03;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;2A;1;NA;14:03;14:18;no;no;unable;NA;NA;yes;NA;NA
Tortoise_type1;4A;1;NA;14:20;14:35;no;no;unable;NA;NA;yes;NA;NA
Tortoise_type1;6A;1;NA;14:37;14:52;no;no;unable;NA;NA;yes;NA;NA
Tortoise_type1;1A;1;NA;14:57;15:09;yes;yes;barrier;NA;15:09;yes;00:12:00;NA
Tortoise_type1;3A;1;NA;15:29;15:33;yes;yes;barrier;NA;15:33;yes;00:04:00;NA
Tortoise_type1;7A;1;NA;15:40;15:47;yes;yes;barrier;NA;15:47;yes;00:07:00;NA
Tortoise_type1;5A;1;NA;16:07;16:22;yes;no;unable;NA;NA;yes;NA;NA
Tortoise_type1;7A;1;NA;16:24;16:28;no;no;unable;NA;NA;yes;NA;NA
Tortoise_type1;4A;1;NA;16:51;17:06;no;no;unable;NA;NA;no;NA;NA
Tortoise_type1;2A;1;NA;14:57;15:12;no;no;unable;NA;NA;yes;NA;NA
Tortoise_type1;6A;1;NA;16:06;16:21;no;no;unable;NA;NA;yes;NA;NA
Tortoise_type1;7A;1;NA;16:51;17:06;yes;yes;unable;NA;NA;no;NA;NA
Tortoise_type1;2B;1;NA;10:30;10:45;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;3B;1;NA;10:47;11:02;yes;yes;unable;NA;NA;no;NA;NA
Tortoise_type1;5B;1;NA;11:04;11:21;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;2B;1;NA;11:21;11:36;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;3B;1;NA;13:16;13:26;yes;yes;trench;13:26;NA;yes;NA;00:10:00
Tortoise_type1;5B;1;NA;13:32;13:45;yes;yes;rail;NA;13:45;yes;00:13:00;NA
Tortoise_type1;1B;1;NA;13:58;14:13;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;3B;1;NA;14:16;14:31;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;5B;1;NA;14:34;14:49;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;2B;1;NA;13:58;14:14;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;4B;1;NA;14:16;14:31;yes;yes;unable;NA;NA;yes;NA;NA
